file,beads,fsc.med,fsc.low,fsc.high,size,fsc.corr,fsc.corr.high
740_caldata/2017-02-21_740_oligo_0.3um.evt,1689,8160,6896,9456,0.3,8160,9456
740_caldata/2017-02-21_740_oligo_0.5um.evt,3832,30256,29424,31123.6,0.5,30256,31123.6
740_caldata/2017-02-21_740_oligo_0.75um.evt,2495,42784,41232,43744,0.75,42784,43744
740_caldata/2017-02-21_740_oligo_1um.evt,2038,49152,48334.8,49696,1,49152,49696
740_caldata/2017-02-22_740_oligo_1.83um.evt,784,55184,53433.2,56470.8,1.83,55184,56470.8
740_caldata/2017-02-21_740_oligo_3.1um.evt,596,54848,54208,55554,3.1,54848,55554
740_caldata/2017-02-21_740_oligo_5.7um.evt,91,61296,61060,61536,5.7,61296,61536
740_caldata/2017-02-21_740_oligo_0.3um.evt,1689,8160,6896,9456,0.3,8160,9456
740_caldata/2017-02-22_740_coastal_0.5um.evt,2129,19568,18752,20368,0.5,29769.33333,30569.33333
740_caldata/2017-02-22_740_coastal_0.75um.evt,5105,32496,31024,33232,0.75,42697.33333,43433.33333
740_caldata/2017-02-21_740_coastal_1um.evt,3150,37920,37296,38368,1,48121.33333,48569.33333
740_caldata/2017-02-22_740_coastal_1.83um.evt,1982,45440,43696,46711.6,1.83,55641.33333,56912.93333
740_caldata/2017-02-22_740_coastal_3.1um.evt,709,45344,44534.4,46096,3.1,55545.33333,56297.33333
740_caldata/2017-02-22_740_coastal_5.7um.evt,87,51648,51348.8,51869.6,5.7,61849.33333,62070.93333